"88","122 E 42ND ST,  New York, ,  10168","Match","Non_Exact","122 E 42ND ST, NEW YORK, NY, 10017","-73.97628490999995,40.75153467600006","59658687","R"
"89","47 S 5TH ST,  New York, ,  11249","Match","Non_Exact","47 S 5TH ST, BROOKLYN, NY, 11249","-73.96664307199995,40.712232638000046","59075970","L"
"110","45 S 3RD ST,  New York, ,  11249","Match","Non_Exact","45 S 3RD ST, BROOKLYN, NY, 11249","-73.96561957099993,40.71352219500005","650082911","L"
"111","45 S 3RD ST,  New York, ,  11249","Match","Non_Exact","45 S 3RD ST, BROOKLYN, NY, 11249","-73.96561957099993,40.71352219500005","650082911","L"
"112","45 S 3RD ST,  New York, ,  11249","Match","Non_Exact","45 S 3RD ST, BROOKLYN, NY, 11249","-73.96561957099993,40.71352219500005","650082911","L"
"113","47 S 5TH ST,  New York, ,  11249","Match","Non_Exact","47 S 5TH ST, BROOKLYN, NY, 11249","-73.96664307199995,40.712232638000046","59075970","L"
"114","JFK INTL AIRPORT,  New York, ,  11430","No_Match"
"115","NKA PENN STATION A,  New York, ,  10121","No_Match"
"116","W. 59TH ST COLUMBUS CIR,  New York, ,  10023","No_Match"
"90","BOARDWALK AT WEST 8TH STREET,  New York, ,  11224","Match","Non_Exact","BOARDWALK W & W 8TH ST, BROOKLYN, NY, 11224","-73.97700639399994,40.57346812500003","",""
"117","94 WYTHE AVE,  New York, ,  11249","Match","Non_Exact","94 WYTHE AVE, BROOKLYN, NY, 11249","-73.95835853799997,40.72146128500003","59075944","R"
"91","47 S 5TH ST,  New York, ,  11249","Match","Non_Exact","47 S 5TH ST, BROOKLYN, NY, 11249","-73.96664307199995,40.712232638000046","59075970","L"
"118","47 S 5TH ST,  New York, ,  11249","Match","Non_Exact","47 S 5TH ST, BROOKLYN, NY, 11249","-73.96664307199995,40.712232638000046","59075970","L"
"92","JFK INTL AIRPORT,  New York, ,  11430","No_Match"
"119","45 S 3RD ST,  New York, ,  11249","Match","Non_Exact","45 S 3RD ST, BROOKLYN, NY, 11249","-73.96561957099993,40.71352219500005","650082911","L"
"93","JFK INTL AIRPORT,  New York, ,  11430","No_Match"
"94","JFK INTL AIRPORT,  New York, ,  11430","No_Match"
"95","122 E 42ND ST,  New York, ,  10168","Match","Non_Exact","122 E 42ND ST, NEW YORK, NY, 10017","-73.97628490999995,40.75153467600006","59658687","R"
"96","JFK TERMINAL 1,  New York, ,  11430","No_Match"
"97","45 S 3RD ST,  New York, ,  11249","Match","Non_Exact","45 S 3RD ST, BROOKLYN, NY, 11249","-73.96561957099993,40.71352219500005","650082911","L"
"10","HECKSCHER BALLFIELDS IN CENTRAL PARK,  New York, ,  10023","No_Match"
"98","1139/1141 CLARKSON AVE,  New York, ,  11212","Match","Non_Exact","1139 CLARKSON AVE, BROOKLYN, NY, 11212","-73.92077503399997,40.66069801800006","59083641","L"
"11","HECKSCHER BALLFIELDS IN CENTRAL PARK,  New York, ,  10023","No_Match"
"99","NKA PENN STATION A,  New York, ,  10121","No_Match"
